product_code,customer_code,market_code,order_date,sales_qty,sales_amount,currency
Prod134,Cus006,Mark004,2018-05-28,2,681,"INR"
Prod134,Cus024,Mark011,2018-05-28,1,69,"INR"
Prod134,Cus018,Mark011,2018-05-28,1,269,"INR"
Prod134,Cus027,Mark012,2018-05-29,6,1509,"INR"
Prod134,Cus017,Mark011,2018-05-29,4,2222,"INR"
Prod134,Cus019,Mark011,2018-05-29,1,426,"INR"
Prod134,Cus022,Mark011,2018-05-29,2,690,"INR"
Prod134,Cus005,Mark004,2018-05-30,1,65,"INR"
Prod134,Cus019,Mark011,2018-05-30,1,181,"INR"
Prod134,Cus018,Mark011,2018-05-30,1,472,"INR"
Prod134,Cus019,Mark011,2018-05-31,1,60,"INR"
Prod134,Cus018,Mark011,2018-05-31,1,417,"INR"
Prod134,Cus005,Mark004,2018-06-01,1,194,"INR"
Prod134,Cus020,Mark011,2018-06-01,4,1255,"INR"
Prod134,Cus005,Mark004,2018-06-04,1,194,"INR"
Prod134,Cus007,Mark004,2018-06-04,1,255,"INR"
Prod134,Cus017,Mark011,2018-06-04,4,2111,"INR"
Prod134,Cus018,Mark011,2018-06-04,2,532,"INR"
Prod134,Cus005,Mark004,2018-06-05,24,7741,"INR"
Prod134,Cus019,Mark011,2018-06-05,1,241,"INR"
Prod134,Cus005,Mark004,2018-06-06,1,194,"INR"
Prod134,Cus007,Mark004,2018-06-06,14,4394,"INR"
Prod134,Cus019,Mark011,2018-06-06,1,120,"INR"
Prod134,Cus024,Mark011,2018-06-06,1,69,"INR"
Prod134,Cus025,Mark011,2018-06-06,3,917,"INR"
Prod134,Cus021,Mark011,2018-06-06,4,1343,"INR"
Prod134,Cus029,Mark011,2018-06-06,2,741,"INR"
Prod134,Cus002,Mark005,2018-06-07,2,1097,"INR"
Prod134,Cus005,Mark004,2018-06-11,1,65,"INR"
Prod134,Cus007,Mark004,2018-06-11,1,130,"INR"
Prod134,Cus017,Mark011,2018-06-11,1,264,"INR"
Prod134,Cus019,Mark011,2018-06-11,1,120,"INR"
Prod134,Cus024,Mark011,2018-06-11,1,130,"INR"
Prod134,Cus018,Mark011,2018-06-11,1,74,"INR"
Prod134,Cus019,Mark011,2018-06-12,1,181,"INR"
Prod134,Cus018,Mark011,2018-06-12,1,148,"INR"
Prod134,Cus005,Mark004,2018-06-13,1,130,"INR"
Prod134,Cus007,Mark004,2018-06-13,10,3139,"INR"
Prod134,Cus019,Mark011,2018-06-13,1,241,"INR"
Prod134,Cus018,Mark011,2018-06-13,1,449,"INR"
Prod134,Cus018,Mark011,2018-06-14,1,74,"INR"
Prod134,Cus024,Mark011,2018-06-15,4,1412,"INR"
Prod134,Cus019,Mark011,2018-06-16,1,120,"INR"
Prod134,Cus007,Mark004,2018-06-18,1,259,"INR"
Prod134,Cus017,Mark011,2018-06-18,4,2111,"INR"
Prod134,Cus019,Mark011,2018-06-18,1,301,"INR"
Prod134,Cus024,Mark011,2018-06-18,1,144,"INR"
Prod134,Cus018,Mark011,2018-06-18,1,366,"INR"
Prod134,Cus005,Mark004,2018-06-19,1,65,"INR"
Prod134,Cus017,Mark011,2018-06-19,4,2111,"INR"
Prod134,Cus019,Mark011,2018-06-19,1,60,"INR"
Prod134,Cus005,Mark004,2018-06-20,1,130,"INR"
Prod134,Cus019,Mark011,2018-06-20,1,361,"INR"
Prod134,Cus023,Mark011,2018-06-20,1,315,"INR"
Prod134,Cus018,Mark011,2018-06-20,1,361,"INR"
Prod134,Cus005,Mark004,2018-06-21,1,130,"INR"
Prod134,Cus017,Mark011,2018-06-21,2,1056,"INR"
Prod134,Cus019,Mark011,2018-06-21,1,426,"INR"
Prod134,Cus024,Mark011,2018-06-21,1,65,"INR"
Prod134,Cus018,Mark011,2018-06-21,1,148,"INR"
Prod134,Cus007,Mark004,2018-06-22,1,259,"INR"
Prod134,Cus019,Mark011,2018-06-22,1,361,"INR"
Prod134,Cus021,Mark011,2018-06-22,2,875,"INR"
Prod134,Cus020,Mark004,2018-06-25,1,125,"INR"
Prod134,Cus017,Mark011,2018-06-25,4,2111,"INR"
Prod134,Cus019,Mark011,2018-06-25,1,181,"INR"
Prod134,Cus018,Mark011,2018-06-25,1,301,"INR"
Prod134,Cus005,Mark004,2018-06-26,12,4000,"INR"
Prod134,Cus018,Mark011,2018-06-26,1,148,"INR"
Prod134,Cus021,Mark011,2018-06-26,4,1343,"INR"
Prod134,Cus005,Mark004,2018-06-27,1,194,"INR"
Prod134,Cus019,Mark011,2018-06-27,1,241,"INR"
Prod134,Cus024,Mark011,2018-06-27,1,259,"INR"
Prod134,Cus002,Mark005,2018-06-28,2,1097,"INR"
Prod134,Cus006,Mark004,2018-06-28,1,477,"INR"
Prod134,Cus019,Mark011,2018-06-28,1,181,"INR"
Prod134,Cus029,Mark011,2018-06-28,1,65,"INR"
Prod134,Cus007,Mark004,2018-06-29,1,519,"INR"
Prod134,Cus017,Mark011,2018-06-29,2,1056,"INR"
Prod134,Cus019,Mark011,2018-06-29,1,60,"INR"
